time,72.5,71.52,70.54,69.56,68.58,67.6,66.62,65.64,64.66,63.68,62.7,61.72,60.74,59.76,58.78,57.8,56.82,55.84,54.86,53.88,52.9,51.92,50.94,49.96,48.98,48,47.02,46.04,45.06,44.08,43.1,42.12,41.14,40.16,39.18,38.2,37.22,36.24,35.26,34.28
0.784,-79.492824,-85.727555,-95.079652,-90.403603,-90.403603,-82.610189,-82.610189,-76.375458,-77.934141,-82.610189,-79.492824,-76.375458,-81.051507,-91.962286,-91.962286,-91.962286,-82.610189,-81.051507,-82.610189,-82.610189,-77.934141,-85.727555,-85.727555,-82.610189,-85.727555,-77.934141,-82.610189,-77.934141,-77.934141,-73.258092,-76.375458,-76.375458,-77.934141,-77.934141,-67.023361,-65.464678,-71.69941,-74.816775,-77.934141,-77.934141
0.812,-56.112581,-70.140727,-51.436533,-60.78863,-79.492824,-63.905996,-70.140727,-85.727555,-82.610189,-79.492824,-81.051507,-74.816775,-85.727555,-88.844921,-84.168872,-81.051507,-81.051507,-81.051507,-82.610189,-82.610189,-85.727555,-90.403603,-87.286238,-85.727555,-85.727555,-85.727555,-81.051507,-77.934141,-84.168872,-82.610189,-82.610189,-82.610189,-82.610189,-84.168872,-84.168872,-82.610189,-84.168872,-76.375458,-70.140727,-76.375458
0.84,-56.112581,-54.553899,-59.229947,-63.905996,-71.69941,-73.258092,-67.023361,-67.023361,-71.69941,-76.375458,-74.816775,-74.816775,-77.934141,-77.934141,-77.934141,-71.69941,-70.140727,-74.816775,-77.934141,-70.140727,-76.375458,-74.816775,-77.934141,-74.816775,-81.051507,-88.844921,-90.403603,-87.286238,-85.727555,-84.168872,-88.844921,-77.934141,-76.375458,-74.816775,-70.140727,-67.023361,-68.582044,-81.051507,-77.934141,-77.934141
0.868,-54.553899,-62.347313,-62.347313,-59.229947,-67.023361,-67.023361,-67.023361,-67.023361,-63.905996,-63.905996,-63.905996,-74.816775,-74.816775,-77.934141,-79.492824,-82.610189,-79.492824,-76.375458,-77.934141,-74.816775,-70.140727,-74.816775,-77.934141,-81.051507,-79.492824,-77.934141,-77.934141,-68.582044,-67.023361,-71.69941,-71.69941,-77.934141,-77.934141,-82.610189,-91.962286,-90.403603,-85.727555,-82.610189,-82.610189,-81.051507
0.896,-45.201802,-43.643119,-45.201802,-46.760485,-51.436533,-51.436533,-56.112581,-59.229947,-62.347313,-62.347313,-67.023361,-63.905996,-65.464678,-71.69941,-62.347313,-62.347313,-65.464678,-65.464678,-71.69941,-68.582044,-68.582044,-71.69941,-77.934141,-67.023361,-76.375458,-68.582044,-74.816775,-77.934141,-81.051507,-79.492824,-81.051507,-87.286238,-87.286238,-74.816775,-60.78863,-77.934141,-84.168872,-77.934141,-74.816775,-67.023361
0.924,-24.938925,-34.291022,-35.849705,-43.643119,-42.084436,-51.436533,-52.995216,-56.112581,-56.112581,-56.112581,-56.112581,-63.905996,-60.78863,-63.905996,-68.582044,-74.816775,-70.140727,-71.69941,-71.69941,-76.375458,-77.934141,-74.816775,-77.934141,-71.69941,-68.582044,-77.934141,-82.610189,-79.492824,-71.69941,-73.258092,-73.258092,-71.69941,-85.727555,-88.844921,-85.727555,-79.492824,-85.727555,-77.934141,-71.69941,-74.816775
0.952,-24.938925,-34.291022,-31.173656,-32.732339,-35.849705,-40.525753,-42.084436,-42.084436,-37.408388,-57.671264,-59.229947,-54.553899,-56.112581,-59.229947,-59.229947,-65.464678,-68.582044,-62.347313,-62.347313,-62.347313,-67.023361,-63.905996,-65.464678,-63.905996,-67.023361,-73.258092,-76.375458,-71.69941,-74.816775,-71.69941,-71.69941,-74.816775,-82.610189,-76.375458,-74.816775,-76.375458,-74.816775,-73.258092,-77.934141,-81.051507
0.98,-18.704194,-28.056291,-23.380242,-24.938925,-26.497608,-24.938925,-24.938925,-40.525753,-40.525753,-38.96707,-43.643119,-43.643119,-46.760485,-48.319167,-56.112581,-56.112581,-56.112581,-51.436533,-56.112581,-56.112581,-59.229947,-59.229947,-60.78863,-59.229947,-67.023361,-65.464678,-67.023361,-67.023361,-63.905996,-71.69941,-76.375458,-79.492824,-77.934141,-79.492824,-77.934141,-79.492824,-71.69941,-67.023361,-74.816775,-74.816775
1.008,-12.469463,-9.352097,-15.586828,-15.586828,-18.704194,-26.497608,-28.056291,-29.614974,-35.849705,-43.643119,-38.96707,-40.525753,-40.525753,-40.525753,-40.525753,-48.319167,-51.436533,-51.436533,-51.436533,-51.436533,-59.229947,-48.319167,-51.436533,-54.553899,-56.112581,-62.347313,-63.905996,-60.78863,-63.905996,-67.023361,-60.78863,-74.816775,-71.69941,-67.023361,-67.023361,-74.816775,-82.610189,-79.492824,-77.934141,-71.69941
1.036,6.234731,-4.676048,-6.234731,-9.352097,-15.586828,-15.586828,-17.145511,-24.938925,-24.938925,-24.938925,-24.938925,-31.173656,-37.408388,-38.96707,-40.525753,-43.643119,-43.643119,-43.643119,-45.201802,-46.760485,-43.643119,-56.112581,-59.229947,-56.112581,-56.112581,-59.229947,-59.229947,-60.78863,-59.229947,-60.78863,-67.023361,-65.464678,-68.582044,-68.582044,-68.582044,-74.816775,-74.816775,-71.69941,-79.492824,-74.816775
1.064,14.028145,14.028145,9.352097,3.117366,0,-6.234731,-12.469463,-15.586828,-14.028145,-24.938925,-21.821559,-28.056291,-26.497608,-26.497608,-32.732339,-34.291022,-35.849705,-42.084436,-43.643119,-38.96707,-46.760485,-46.760485,-46.760485,-48.319167,-48.319167,-51.436533,-54.553899,-56.112581,-56.112581,-63.905996,-67.023361,-63.905996,-65.464678,-60.78863,-62.347313,-74.816775,-71.69941,-70.140727,-67.023361,-74.816775
1.092,28.056291,21.821559,10.91078,10.91078,9.352097,1.558683,-7.793414,-7.793414,-10.91078,-9.352097,-17.145511,-18.704194,-14.028145,-23.380242,-28.056291,-28.056291,-28.056291,-29.614974,-35.849705,-37.408388,-38.96707,-40.525753,-43.643119,-42.084436,-43.643119,-51.436533,-52.995216,-52.995216,-54.553899,-59.229947,-56.112581,-59.229947,-57.671264,-56.112581,-62.347313,-63.905996,-59.229947,-59.229947,-56.112581,-57.671264
